Index,Provenance,22/4/04,29/04/04,06/05/04,13/05/04
389,GERMANY Farchau,2,4,6,7
390,FRANCE Plateaux du,2,3,4,6
391,FRANCE Plateaux du,1,2,2,4
392,FRANCE Plateaux du,1,2,3,5
393,FRANCE Plateaux du,1,2,3,6
394,FRANCE Plateaux du,1,2,3,5
395,FRANCE Plateaux du,1,2,2,5
396,DENMARK Grasten,2,3,5,6
397,DENMARK Grasten,0,0,0,0
398,DENMARK Grasten,2,3,5,7
399,DENMARK Grasten,2,2,4,6
400,DENMARK Grasten,2,2,4,6
401,DENMARK Grasten,3,6,7,7
402,FRANCE Perche,1,2,2,4
403,FRANCE Perche,2,3,5,6
404,FRANCE Perche,2,3,5,6
405,FRANCE Perche,1,1,3,6
406,FRANCE Perche,1,3,5,7
407,FRANCE Perche,1,3,5,6
408,NETHERLANDS Aarnink,1,2,3,5
409,NETHERLANDS Aarnink,1,2,3,6
410,NETHERLANDS Aarnink,1,2,2,5
411,NETHERLANDS Aarnink,1,2,4,6
412,NETHERLANDS Aarnink,1,1,2,4
413,NETHERLANDS Aarnink,1,2,3,6
414,South Downs  Q.E. (Control),2,4,5,7
415,South Downs  Q.E. (Control),1,2,3,6
416,South Downs  Q.E. (Control),1,2,4,7
417,South Downs  Q.E. (Control),2,3,5,7
418,South Downs  Q.E. (Control),1,1,2,5
419,South Downs  Q.E. (Control),1,2,2,4
420,FRANCE Bretagne,1,2,2,5
421,FRANCE Bretagne,2,4,5,7
422,FRANCE Bretagne,2,3,5,7
423,FRANCE Bretagne,1,2,3,5
424,FRANCE Bretagne,2,3,5,7
425,FRANCE Bretagne,1,2,4,6
426,GB Cirencester Park,1,2,3,6
427,GB Cirencester Park,1,4,6,7
428,GB Cirencester Park,1,1,3,6
429,GB Cirencester Park,2,3,5,6
430,GB Cirencester Park,2,3,5,7
431,GB Cirencester Park,1,1,3,6
432,South Downs  Q.E. (Control),2,5,6,7
433,South Downs  Q.E. (Control),1,2,4,6
434,South Downs  Q.E. (Control),1,1,2,5
435,South Downs  Q.E. (Control),1,2,2,5
436,South Downs  Q.E. (Control),2,3,5,6
437,South Downs  Q.E. (Control),1,2,3,6
438,AUSTRIA Hinterstoder,2,5,6,7
439,AUSTRIA Hinterstoder,5,7,7,7
440,AUSTRIA Hinterstoder,2,6,7,7
441,AUSTRIA Hinterstoder,2,6,7,7
